file,rule,description,horizon_days,x_bps,corridor,rows,good_days,good_share,good_episodes,median_regret_bps
regret_max__h-01__x-025bps.parquet,regret_max,Максимальное future regret за h дней не превышает X bps.,1,25,AMD_RUB,270,193,0.7148148148148148,54,0.0
regret_max__h-01__x-025bps.parquet,regret_max,Максимальное future regret за h дней не превышает X bps.,1,25,KGS_RUB,270,193,0.7148148148148148,55,0.0
regret_max__h-01__x-025bps.parquet,regret_max,Максимальное future regret за h дней не превышает X bps.,1,25,KZT_RUB,270,195,0.7222222222222222,55,0.0
regret_max__h-01__x-025bps.parquet,regret_max,Максимальное future regret за h дней не превышает X bps.,1,25,TJS_RUB,270,198,0.7333333333333333,51,0.0
regret_max__h-01__x-025bps.parquet,regret_max,Максимальное future regret за h дней не превышает X bps.,1,25,UZS_RUB,270,196,0.725925925925926,46,0.0
regret_max__h-01__x-050bps.parquet,regret_max,Максимальное future regret за h дней не превышает X bps.,1,50,AMD_RUB,270,225,0.8333333333333334,39,0.0
regret_max__h-01__x-050bps.parquet,regret_max,Максимальное future regret за h дней не превышает X bps.,1,50,KGS_RUB,270,227,0.8407407407407408,37,0.0
regret_max__h-01__x-050bps.parquet,regret_max,Максимальное future regret за h дней не превышает X bps.,1,50,KZT_RUB,270,220,0.8148148148148148,40,0.0
regret_max__h-01__x-050bps.parquet,regret_max,Максимальное future regret за h дней не превышает X bps.,1,50,TJS_RUB,270,229,0.8481481481481481,39,0.0
regret_max__h-01__x-050bps.parquet,regret_max,Максимальное future regret за h дней не превышает X bps.,1,50,UZS_RUB,270,210,0.7777777777777778,44,0.0
regret_max__h-01__x-100bps.parquet,regret_max,Максимальное future regret за h дней не превышает X bps.,1,100,AMD_RUB,270,251,0.9296296296296296,18,0.0
regret_max__h-01__x-100bps.parquet,regret_max,Максимальное future regret за h дней не превышает X bps.,1,100,KGS_RUB,270,251,0.9296296296296296,18,0.0
regret_max__h-01__x-100bps.parquet,regret_max,Максимальное future regret за h дней не превышает X bps.,1,100,KZT_RUB,270,243,0.9,23,0.0
regret_max__h-01__x-100bps.parquet,regret_max,Максимальное future regret за h дней не превышает X bps.,1,100,TJS_RUB,270,253,0.937037037037037,17,0.0
regret_max__h-01__x-100bps.parquet,regret_max,Максимальное future regret за h дней не превышает X bps.,1,100,UZS_RUB,270,248,0.9185185185185185,21,0.0
near_local_min__h-01__x-025bps.parquet,near_local_min,Курс T не дальше X bps от минимума в календарном окне T±h.,1,25,AMD_RUB,270,125,0.46296296296296297,81,0.0
near_local_min__h-01__x-025bps.parquet,near_local_min,Курс T не дальше X bps от минимума в календарном окне T±h.,1,25,KGS_RUB,270,125,0.46296296296296297,80,0.0
near_local_min__h-01__x-025bps.parquet,near_local_min,Курс T не дальше X bps от минимума в календарном окне T±h.,1,25,KZT_RUB,270,115,0.42592592592592593,77,0.0
near_local_min__h-01__x-025bps.parquet,near_local_min,Курс T не дальше X bps от минимума в календарном окне T±h.,1,25,TJS_RUB,270,119,0.44074074074074077,84,0.0
near_local_min__h-01__x-025bps.parquet,near_local_min,Курс T не дальше X bps от минимума в календарном окне T±h.,1,25,UZS_RUB,270,108,0.4,67,0.0
near_local_min__h-01__x-050bps.parquet,near_local_min,Курс T не дальше X bps от минимума в календарном окне T±h.,1,50,AMD_RUB,270,167,0.6185185185185185,70,0.0
near_local_min__h-01__x-050bps.parquet,near_local_min,Курс T не дальше X bps от минимума в календарном окне T±h.,1,50,KGS_RUB,270,170,0.6296296296296297,66,0.0
near_local_min__h-01__x-050bps.parquet,near_local_min,Курс T не дальше X bps от минимума в календарном окне T±h.,1,50,KZT_RUB,270,155,0.5740740740740741,68,0.0
near_local_min__h-01__x-050bps.parquet,near_local_min,Курс T не дальше X bps от минимума в календарном окне T±h.,1,50,TJS_RUB,270,165,0.6111111111111112,70,0.0
