metric,value
raw_signal_rows,1545.0
unique_corridor_dates_with_any_signal,1533.0
corridor_dates_with_multiple_signals,12.0
sent_after_priority_and_4d_cooldown,1233.0
sent_per_corridor_week,0.6248657592407592
median_gap_days_after_policy,9.0
p25_gap_days_after_policy,6.0
p75_gap_days_after_policy,14.0
share_corridor_weeks_with_0_sends,0.4035264483627204
share_corridor_weeks_with_1_send,0.5717884130982368
share_corridor_weeks_with_2_sends,0.02468513853904282
share_corridor_weeks_with_more_than_2_sends,0.0
max_sends_in_corridor_calendar_week,2.0
offline_good_rate_after_policy,0.29521492295214924
median_future_regret_bps_after_policy,76.43779059672393
sent_m02_after_policy,39.0
sent_m01_after_policy,606.0
sent_m03_after_policy,348.0
sent_m04_after_policy,240.0
