corridor,month,n_signals,n_hits,hit_rate,policy
AMD_RUB,2025-07,0,0,,POLICY_C
AMD_RUB,2025-08,0,0,,POLICY_C
AMD_RUB,2025-09,1,0,0.0,POLICY_C
AMD_RUB,2025-10,1,0,0.0,POLICY_C
AMD_RUB,2025-11,3,0,0.0,POLICY_C
AMD_RUB,2025-12,2,1,0.5,POLICY_C
AMD_RUB,2026-01,2,0,0.0,POLICY_C
AMD_RUB,2026-02,1,0,0.0,POLICY_C
AMD_RUB,2026-03,0,0,,POLICY_C
AMD_RUB,2026-04,3,0,0.0,POLICY_C
AMD_RUB,2026-05,2,0,0.0,POLICY_C
AMD_RUB,2026-06,0,0,,POLICY_C
AMD_RUB,2026-07,0,0,,POLICY_C
AMD_RUB,2026-08,0,0,,POLICY_C
KGS_RUB,2025-07,0,0,,POLICY_C
KGS_RUB,2025-08,0,0,,POLICY_C
KGS_RUB,2025-09,1,0,0.0,POLICY_C
KGS_RUB,2025-10,2,1,0.5,POLICY_C
KGS_RUB,2025-11,3,0,0.0,POLICY_C
KGS_RUB,2025-12,1,0,0.0,POLICY_C
KGS_RUB,2026-01,2,1,0.5,POLICY_C
KGS_RUB,2026-02,1,0,0.0,POLICY_C
KGS_RUB,2026-03,0,0,,POLICY_C
KGS_RUB,2026-04,3,0,0.0,POLICY_C
KGS_RUB,2026-05,3,1,0.3333333333333333,POLICY_C
KGS_RUB,2026-06,0,0,,POLICY_C
KGS_RUB,2026-07,0,0,,POLICY_C
KGS_RUB,2026-08,0,0,,POLICY_C
KZT_RUB,2025-07,2,1,0.5,POLICY_C
KZT_RUB,2025-08,1,0,0.0,POLICY_C
KZT_RUB,2025-09,1,0,0.0,POLICY_C
KZT_RUB,2025-10,1,0,0.0,POLICY_C
KZT_RUB,2025-11,2,1,0.5,POLICY_C
KZT_RUB,2025-12,2,1,0.5,POLICY_C
KZT_RUB,2026-01,2,1,0.5,POLICY_C
KZT_RUB,2026-02,1,0,0.0,POLICY_C
KZT_RUB,2026-03,0,0,,POLICY_C
KZT_RUB,2026-04,2,0,0.0,POLICY_C
KZT_RUB,2026-05,3,0,0.0,POLICY_C
KZT_RUB,2026-06,0,0,,POLICY_C
KZT_RUB,2026-07,0,0,,POLICY_C
KZT_RUB,2026-08,0,0,,POLICY_C
TJS_RUB,2025-07,0,0,,POLICY_C
TJS_RUB,2025-08,1,0,0.0,POLICY_C
TJS_RUB,2025-09,0,0,,POLICY_C
TJS_RUB,2025-10,3,2,0.6666666666666666,POLICY_C
TJS_RUB,2025-11,3,0,0.0,POLICY_C
TJS_RUB,2025-12,2,1,0.5,POLICY_C
TJS_RUB,2026-01,3,1,0.3333333333333333,POLICY_C
TJS_RUB,2026-02,2,1,0.5,POLICY_C
TJS_RUB,2026-03,0,0,,POLICY_C
TJS_RUB,2026-04,1,0,0.0,POLICY_C
TJS_RUB,2026-05,2,0,0.0,POLICY_C
TJS_RUB,2026-06,0,0,,POLICY_C
TJS_RUB,2026-07,0,0,,POLICY_C
TJS_RUB,2026-08,0,0,,POLICY_C
UZS_RUB,2025-07,2,1,0.5,POLICY_C
UZS_RUB,2025-08,0,0,,POLICY_C
UZS_RUB,2025-09,0,0,,POLICY_C
UZS_RUB,2025-10,3,1,0.3333333333333333,POLICY_C
UZS_RUB,2025-11,2,0,0.0,POLICY_C
UZS_RUB,2025-12,2,1,0.5,POLICY_C
UZS_RUB,2026-01,3,0,0.0,POLICY_C
UZS_RUB,2026-02,0,0,,POLICY_C
UZS_RUB,2026-03,0,0,,POLICY_C
UZS_RUB,2026-04,3,0,0.0,POLICY_C
UZS_RUB,2026-05,2,0,0.0,POLICY_C
UZS_RUB,2026-06,1,0,0.0,POLICY_C
UZS_RUB,2026-07,0,0,,POLICY_C
UZS_RUB,2026-08,0,0,,POLICY_C
