corridor,policy,n_signals,mean_signals_per_month,median_signals_per_month,months_with_zero_signals,share_months_with_1plus,share_months_with_2plus,max_gap_quote_observations,mean_gap_quote_observations,hit_rate,random_hit_rate,uplift,mean_actual_regret_signal
AMD_RUB,POLICY_A,35,2.5,0.0,8,0.42857142857142855,0.42857142857142855,45,4.5,0.2571428571428571,0.09466666666666666,2.7162977867203217,0.015153955044359369
AMD_RUB,POLICY_B,39,2.7857142857142856,1.0,6,0.5714285714285714,0.42857142857142855,26,4.078947368421052,0.23076923076923078,0.09769230769230769,2.362204724409449,0.014950968775324558
AMD_RUB,POLICY_C,15,1.0714285714285714,1.0,6,0.5714285714285714,0.35714285714285715,26,10.857142857142858,0.06666666666666667,0.09377777777777778,0.7109004739336493,0.015756569346433488
KGS_RUB,POLICY_A,32,2.2857142857142856,1.0,6,0.5714285714285714,0.42857142857142855,58,6.806451612903226,0.25,0.09291666666666666,2.690582959641256,0.01628531851080782
KGS_RUB,POLICY_B,36,2.5714285714285716,1.0,5,0.6428571428571429,0.42857142857142855,56,6.0285714285714285,0.2222222222222222,0.09657407407407408,2.3010546500479383,0.016060706176117493
KGS_RUB,POLICY_C,16,1.1428571428571428,1.0,6,0.5714285714285714,0.35714285714285715,25,10.333333333333334,0.1875,0.09708333333333333,1.9313304721030045,0.015964956314933217
KZT_RUB,POLICY_A,26,1.8571428571428572,1.0,7,0.5,0.5,53,8.32,0.4230769230769231,0.11153846153846156,3.793103448275861,0.012555582403266069
KZT_RUB,POLICY_B,32,2.2857142857142856,1.5,4,0.7142857142857143,0.5,34,6.709677419354839,0.34375,0.10239583333333334,3.3570701932858595,0.014198691522888687
KZT_RUB,POLICY_C,17,1.2142857142857142,1.0,4,0.7142857142857143,0.42857142857142855,34,12.9375,0.23529411764705882,0.09862745098039216,2.3856858846918487,0.014640418356447613
TJS_RUB,POLICY_A,32,2.2857142857142856,1.5,6,0.5714285714285714,0.5,48,5.774193548387097,0.34375,0.10833333333333334,3.173076923076923,0.013546931642840598
TJS_RUB,POLICY_B,38,2.7142857142857144,1.5,5,0.6428571428571429,0.5,26,4.837837837837838,0.3157894736842105,0.11263157894736843,2.8037383177570088,0.013001726314116897
TJS_RUB,POLICY_C,17,1.2142857142857142,1.0,6,0.5714285714285714,0.42857142857142855,27,11.0625,0.29411764705882354,0.11607843137254903,2.5337837837837838,0.011294405892071188
UZS_RUB,POLICY_A,37,2.642857142857143,1.5,7,0.5,0.5,60,5.861111111111111,0.24324324324324326,0.07810810810810812,3.1141868512110724,0.015018673750601367
UZS_RUB,POLICY_B,41,2.9285714285714284,2.5,6,0.5714285714285714,0.5,54,5.625,0.21951219512195122,0.07682926829268293,2.857142857142857,0.014807386547411356
UZS_RUB,POLICY_C,18,1.2857142857142858,1.5,6,0.5714285714285714,0.5,54,13.235294117647058,0.16666666666666666,0.07351851851851852,2.267002518891687,0.015523222569069316
