corridor,policy,n_signals,signal_frequency,mean_signals_per_month,median_signals_per_month,months_with_zero_signals,share_months_with_1plus,share_months_with_2plus,max_gap_quote_observations,mean_gap_quote_observations,hit_rate,random_hit_rate,uplift,mean_actual_regret_signal
AMD_RUB,POLICY_FULL,33,0.12,2.357142857142857,2.0,1,0.9285714285714286,0.7857142857142857,20,7.90625,0.09090909090909091,0.09515151515151515,0.9554140127388535,0.013232812424412157
AMD_RUB,POLICY_SIMPLE,37,0.13454545454545455,2.642857142857143,3.0,1,0.9285714285714286,0.7857142857142857,27,7.083333333333333,0.16216216216216217,0.09410810810810812,1.7231476163124642,0.01130056675423683
AMD_RUB,POLICY_SIMPLE_NO_COOLDOWN,88,0.32,6.285714285714286,7.0,1,0.9285714285714286,0.8571428571428571,25,2.9310344827586206,0.125,0.09265909090909091,1.3490311503556536,0.01219270978285772
KGS_RUB,POLICY_FULL,35,0.12727272727272726,2.5,3.0,0,1.0,0.7857142857142857,17,7.882352941176471,0.11428571428571428,0.09571428571428572,1.1940298507462686,0.012590467469743386
KGS_RUB,POLICY_SIMPLE,38,0.13818181818181818,2.7142857142857144,3.0,1,0.9285714285714286,0.9285714285714286,18,7.0,0.15789473684210525,0.0934736842105263,1.6891891891891893,0.011170927910293824
KGS_RUB,POLICY_SIMPLE_NO_COOLDOWN,79,0.2872727272727273,5.642857142857143,7.0,0,1.0,0.9285714285714286,18,3.5128205128205128,0.11392405063291139,0.09475949367088608,1.2022441891530857,0.013190765198022111
KZT_RUB,POLICY_FULL,35,0.12727272727272726,2.5,2.5,0,1.0,0.7857142857142857,18,7.970588235294118,0.14285714285714285,0.10702857142857143,1.3347570742124932,0.01181302191413782
KZT_RUB,POLICY_SIMPLE,39,0.14181818181818182,2.7857142857142856,2.5,0,1.0,0.8571428571428571,19,7.078947368421052,0.15384615384615385,0.10476923076923075,1.468428781204112,0.011404289395984302
KZT_RUB,POLICY_SIMPLE_NO_COOLDOWN,79,0.2872727272727273,5.642857142857143,5.5,0,1.0,0.8571428571428571,18,3.448717948717949,0.12658227848101267,0.10655696202531645,1.187930624851509,0.011775302379641072
TJS_RUB,POLICY_FULL,34,0.12363636363636364,2.4285714285714284,2.0,1,0.9285714285714286,0.7857142857142857,18,7.666666666666667,0.20588235294117646,0.11282352941176471,1.824817518248175,0.010527558137982836
TJS_RUB,POLICY_SIMPLE,35,0.12727272727272726,2.5,2.5,1,0.9285714285714286,0.7857142857142857,29,7.647058823529412,0.14285714285714285,0.1149142857142857,1.2431626056688214,0.013028876404302453
TJS_RUB,POLICY_SIMPLE_NO_COOLDOWN,90,0.32727272727272727,6.428571428571429,4.5,1,0.9285714285714286,0.8571428571428571,29,2.932584269662921,0.14444444444444443,0.11497777777777779,1.2562814070351755,0.013133854725611366
UZS_RUB,POLICY_FULL,38,0.13818181818181818,2.7142857142857144,3.0,0,1.0,0.8571428571428571,16,7.1891891891891895,0.07894736842105263,0.07684210526315789,1.0273972602739725,0.00995926211193545
UZS_RUB,POLICY_SIMPLE,39,0.14181818181818182,2.7857142857142856,2.5,0,1.0,1.0,19,7.184210526315789,0.07692307692307693,0.07615384615384616,1.0101010101010102,0.011034306513667035
UZS_RUB,POLICY_SIMPLE_NO_COOLDOWN,79,0.2872727272727273,5.642857142857143,5.5,0,1.0,1.0,18,3.5,0.12658227848101267,0.07574683544303798,1.6711229946524064,0.010914562591203283
