corridor,p,d,q,lag,lb_stat,lb_pvalue
AMD_RUB,0,1,0,10,3.1027957136747157,0.9789002919649998
AMD_RUB,0,1,0,20,5.273419461926901,0.9995816652168739
KGS_RUB,0,1,0,10,2.2322742330017986,0.9942299956008264
KGS_RUB,0,1,0,20,4.79809224072337,0.9997990878801298
KZT_RUB,0,1,2,10,0.5431252299748803,0.9999901777846809
KZT_RUB,0,1,2,20,1.0027627650764968,0.9999999998244701
TJS_RUB,0,1,0,10,14.57713232847866,0.14825616558049257
TJS_RUB,0,1,0,20,24.619146694805675,0.21639170620499126
UZS_RUB,0,1,0,10,2.7413256624001208,0.9868733897130019
UZS_RUB,0,1,0,20,4.194208404576072,0.9999315020813947
