corridor,horizon,config_id,params,best_iteration,trees_used,MAE,RMSE,DA,n_validation
AMD_RUB,1,CONFIG_2,"{""depth"": 4, ""iterations"": 500, ""l2_leaf_reg"": 5, ""learning_rate"": 0.03}",107,108,0.001656989138625205,0.0024256626766122236,0.5401459854014599,274
AMD_RUB,2,CONFIG_3,"{""depth"": 6, ""iterations"": 300, ""l2_leaf_reg"": 5, ""learning_rate"": 0.03}",66,67,0.002689704642867736,0.003821096239934745,0.5401459854014599,274
AMD_RUB,3,CONFIG_3,"{""depth"": 6, ""iterations"": 300, ""l2_leaf_reg"": 5, ""learning_rate"": 0.03}",32,33,0.0033598758503661386,0.0047756107207999506,0.4635036496350365,274
AMD_RUB,4,CONFIG_1,"{""depth"": 4, ""iterations"": 300, ""l2_leaf_reg"": 3, ""learning_rate"": 0.03}",30,31,0.0038243363118731673,0.005451054404873879,0.4927007299270073,274
AMD_RUB,5,CONFIG_3,"{""depth"": 6, ""iterations"": 300, ""l2_leaf_reg"": 5, ""learning_rate"": 0.03}",10,11,0.004214038538437476,0.0060922407346528495,0.48905109489051096,274
KGS_RUB,1,CONFIG_4,"{""depth"": 6, ""iterations"": 500, ""l2_leaf_reg"": 10, ""learning_rate"": 0.02}",497,498,0.0073798891400601125,0.010873975747524675,0.6131386861313869,274
KGS_RUB,2,CONFIG_2,"{""depth"": 4, ""iterations"": 500, ""l2_leaf_reg"": 5, ""learning_rate"": 0.03}",12,13,0.011909165374932036,0.01716962631330546,0.4781021897810219,274
KGS_RUB,3,CONFIG_4,"{""depth"": 6, ""iterations"": 500, ""l2_leaf_reg"": 10, ""learning_rate"": 0.02}",23,24,0.01478998824115339,0.020927203141634716,0.4744525547445255,274
KGS_RUB,4,CONFIG_1,"{""depth"": 4, ""iterations"": 300, ""l2_leaf_reg"": 3, ""learning_rate"": 0.03}",3,4,0.016672056266378046,0.02376902765751539,0.4744525547445255,274
KGS_RUB,5,CONFIG_4,"{""depth"": 6, ""iterations"": 500, ""l2_leaf_reg"": 10, ""learning_rate"": 0.02}",5,6,0.018133889241912837,0.026356110588800472,0.4854014598540146,274
KZT_RUB,1,CONFIG_4,"{""depth"": 6, ""iterations"": 500, ""l2_leaf_reg"": 10, ""learning_rate"": 0.02}",342,343,0.0015388049870852694,0.002249950742086798,0.5875912408759124,274
KZT_RUB,2,CONFIG_2,"{""depth"": 4, ""iterations"": 500, ""l2_leaf_reg"": 5, ""learning_rate"": 0.03}",0,1,0.002387374206344816,0.003355708141176267,0.45255474452554745,274
KZT_RUB,3,CONFIG_1,"{""depth"": 4, ""iterations"": 300, ""l2_leaf_reg"": 3, ""learning_rate"": 0.03}",0,1,0.0028013345326614483,0.004021961354408404,0.4306569343065693,274
KZT_RUB,4,CONFIG_4,"{""depth"": 6, ""iterations"": 500, ""l2_leaf_reg"": 10, ""learning_rate"": 0.02}",1,2,0.003145102361725501,0.004524520335212995,0.42700729927007297,274
KZT_RUB,5,CONFIG_3,"{""depth"": 6, ""iterations"": 300, ""l2_leaf_reg"": 5, ""learning_rate"": 0.03}",0,1,0.0034485111576018517,0.004953106308805195,0.4233576642335766,274
TJS_RUB,1,CONFIG_4,"{""depth"": 6, ""iterations"": 500, ""l2_leaf_reg"": 10, ""learning_rate"": 0.02}",317,318,0.06323190555499393,0.09187815797423053,0.5401459854014599,274
TJS_RUB,2,CONFIG_3,"{""depth"": 6, ""iterations"": 300, ""l2_leaf_reg"": 5, ""learning_rate"": 0.03}",22,23,0.10113335541324481,0.1436033655268273,0.5291970802919708,274
TJS_RUB,3,CONFIG_3,"{""depth"": 6, ""iterations"": 300, ""l2_leaf_reg"": 5, ""learning_rate"": 0.03}",22,23,0.126636177306639,0.17604155928210946,0.5036496350364964,274
TJS_RUB,4,CONFIG_4,"{""depth"": 6, ""iterations"": 500, ""l2_leaf_reg"": 10, ""learning_rate"": 0.02}",35,36,0.14265281546655878,0.20063963255314915,0.5547445255474452,274
TJS_RUB,5,CONFIG_3,"{""depth"": 6, ""iterations"": 300, ""l2_leaf_reg"": 5, ""learning_rate"": 0.03}",1,2,0.1563598126172538,0.22281927303607016,0.5547445255474452,274
UZS_RUB,1,CONFIG_4,"{""depth"": 6, ""iterations"": 500, ""l2_leaf_reg"": 10, ""learning_rate"": 0.02}",250,251,5.197103098064862e-05,7.521159175602907e-05,0.5547445255474452,274
UZS_RUB,2,CONFIG_4,"{""depth"": 6, ""iterations"": 500, ""l2_leaf_reg"": 10, ""learning_rate"": 0.02}",123,124,8.323440794177576e-05,0.000117256121335877,0.572992700729927,274
UZS_RUB,3,CONFIG_2,"{""depth"": 4, ""iterations"": 500, ""l2_leaf_reg"": 5, ""learning_rate"": 0.03}",5,6,0.00010436342759780935,0.00014615684771062453,0.5,274
UZS_RUB,4,CONFIG_3,"{""depth"": 6, ""iterations"": 300, ""l2_leaf_reg"": 5, ""learning_rate"": 0.03}",36,37,0.00011791444002400405,0.00016456500757074775,0.5364963503649635,274
UZS_RUB,5,CONFIG_3,"{""depth"": 6, ""iterations"": 300, ""l2_leaf_reg"": 5, ""learning_rate"": 0.03}",32,33,0.00012717508416232532,0.00018134364250603561,0.5255474452554745,274
