corridor,policy,month,n_signals,n_hits,mean_favourability_signal,hit_rate
AMD_RUB,POLICY_A_STRICT,2025-07,0,0,,
AMD_RUB,POLICY_A_STRICT,2025-08,0,0,,
AMD_RUB,POLICY_A_STRICT,2025-09,0,0,,
AMD_RUB,POLICY_A_STRICT,2025-10,3,0,0.85,0.0
AMD_RUB,POLICY_A_STRICT,2025-11,2,0,0.875,0.0
AMD_RUB,POLICY_A_STRICT,2025-12,2,0,0.9,0.0
AMD_RUB,POLICY_A_STRICT,2026-01,3,1,0.8666666666666667,0.3333333333333333
AMD_RUB,POLICY_A_STRICT,2026-02,0,0,,
AMD_RUB,POLICY_A_STRICT,2026-03,0,0,,
AMD_RUB,POLICY_A_STRICT,2026-04,4,2,0.9125,0.5
AMD_RUB,POLICY_A_STRICT,2026-05,2,1,1.0,0.5
AMD_RUB,POLICY_A_STRICT,2026-06,0,0,,
AMD_RUB,POLICY_A_STRICT,2026-07,0,0,,
AMD_RUB,POLICY_A_STRICT,2026-08,0,0,,
AMD_RUB,POLICY_B_BALANCED,2025-07,0,0,,
AMD_RUB,POLICY_B_BALANCED,2025-08,0,0,,
AMD_RUB,POLICY_B_BALANCED,2025-09,0,0,,
AMD_RUB,POLICY_B_BALANCED,2025-10,3,0,0.85,0.0
AMD_RUB,POLICY_B_BALANCED,2025-11,2,0,0.875,0.0
AMD_RUB,POLICY_B_BALANCED,2025-12,2,0,0.9,0.0
AMD_RUB,POLICY_B_BALANCED,2026-01,3,1,0.8666666666666667,0.3333333333333333
AMD_RUB,POLICY_B_BALANCED,2026-02,0,0,,
AMD_RUB,POLICY_B_BALANCED,2026-03,0,0,,
AMD_RUB,POLICY_B_BALANCED,2026-04,4,2,0.9125,0.5
AMD_RUB,POLICY_B_BALANCED,2026-05,2,1,1.0,0.5
AMD_RUB,POLICY_B_BALANCED,2026-06,0,0,,
AMD_RUB,POLICY_B_BALANCED,2026-07,0,0,,
AMD_RUB,POLICY_B_BALANCED,2026-08,0,0,,
AMD_RUB,POLICY_C_MORE_FREQUENT,2025-07,0,0,,
AMD_RUB,POLICY_C_MORE_FREQUENT,2025-08,0,0,,
AMD_RUB,POLICY_C_MORE_FREQUENT,2025-09,0,0,,
AMD_RUB,POLICY_C_MORE_FREQUENT,2025-10,3,0,0.85,0.0
AMD_RUB,POLICY_C_MORE_FREQUENT,2025-11,2,0,0.875,0.0
AMD_RUB,POLICY_C_MORE_FREQUENT,2025-12,2,0,0.9,0.0
AMD_RUB,POLICY_C_MORE_FREQUENT,2026-01,3,1,0.8666666666666667,0.3333333333333333
AMD_RUB,POLICY_C_MORE_FREQUENT,2026-02,0,0,,
AMD_RUB,POLICY_C_MORE_FREQUENT,2026-03,0,0,,
AMD_RUB,POLICY_C_MORE_FREQUENT,2026-04,4,2,0.9125,0.5
AMD_RUB,POLICY_C_MORE_FREQUENT,2026-05,2,1,1.0,0.5
AMD_RUB,POLICY_C_MORE_FREQUENT,2026-06,0,0,,
AMD_RUB,POLICY_C_MORE_FREQUENT,2026-07,0,0,,
AMD_RUB,POLICY_C_MORE_FREQUENT,2026-08,0,0,,
KGS_RUB,POLICY_A_STRICT,2025-07,0,0,,
KGS_RUB,POLICY_A_STRICT,2025-08,0,0,,
KGS_RUB,POLICY_A_STRICT,2025-09,0,0,,
KGS_RUB,POLICY_A_STRICT,2025-10,3,0,0.8666666666666667,0.0
KGS_RUB,POLICY_A_STRICT,2025-11,2,0,0.875,0.0
KGS_RUB,POLICY_A_STRICT,2025-12,2,0,0.875,0.0
KGS_RUB,POLICY_A_STRICT,2026-01,3,2,0.9500000000000001,0.6666666666666666
KGS_RUB,POLICY_A_STRICT,2026-02,1,0,0.8,0.0
KGS_RUB,POLICY_A_STRICT,2026-03,0,0,,
KGS_RUB,POLICY_A_STRICT,2026-04,5,2,0.9400000000000001,0.4
KGS_RUB,POLICY_A_STRICT,2026-05,3,1,1.0,0.3333333333333333
