corridor,horizon,model,params,MAE,RMSE,DA,n_validation
AMD_RUB,1,DIRECT_GRADIENT_BOOSTING,"{""learning_rate"": 0.05, ""max_depth"": 2, ""n_estimators"": 100}",0.0016735788230179656,0.002449238564679389,0.5620437956204379,274
AMD_RUB,1,DIRECT_RIDGE,"{""alpha"": 0.1}",0.0016721457594924332,0.0024449269991055687,0.5620437956204379,274
AMD_RUB,2,DIRECT_GRADIENT_BOOSTING,"{""learning_rate"": 0.03, ""max_depth"": 3, ""n_estimators"": 100}",0.0027342042045967255,0.0039093396726407525,0.48905109489051096,274
AMD_RUB,2,DIRECT_RIDGE,"{""alpha"": 1.0}",0.0027027060316987712,0.003876081151925743,0.5802919708029197,274
AMD_RUB,3,DIRECT_GRADIENT_BOOSTING,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100}",0.0034216820471635405,0.00486231276175317,0.45985401459854014,274
AMD_RUB,3,DIRECT_RIDGE,"{""alpha"": 100.0}",0.003422794627604039,0.004885876067772215,0.5145985401459854,274
AMD_RUB,4,DIRECT_GRADIENT_BOOSTING,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100}",0.003872803638133213,0.005531078839402092,0.48905109489051096,274
AMD_RUB,4,DIRECT_RIDGE,"{""alpha"": 100.0}",0.003929957009554969,0.0056154897974866605,0.5182481751824818,274
AMD_RUB,5,DIRECT_GRADIENT_BOOSTING,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100}",0.004279372816652909,0.006168260884900358,0.48175182481751827,274
AMD_RUB,5,DIRECT_RIDGE,"{""alpha"": 100.0}",0.004301811158398217,0.006273619408718898,0.5255474452554745,274
KGS_RUB,1,DIRECT_GRADIENT_BOOSTING,"{""learning_rate"": 0.03, ""max_depth"": 2, ""n_estimators"": 100}",0.007445623352990667,0.011134329059031386,0.5875912408759124,274
KGS_RUB,1,DIRECT_RIDGE,"{""alpha"": 100.0}",0.007398688169173611,0.010823561054846165,0.5802919708029197,274
