corridor,partition,rows_before_complete_case,rows_after_complete_case,rows_lost,start,end,train_validation_purge_observations,validation_test_purge_observations
AMD_RUB,train,1317,1227,90,2019-05-24,2024-05-16,5,10
AMD_RUB,validation,274,274,0,2024-05-23,2025-06-28,5,10
AMD_RUB,refit,1600,1510,90,2019-05-24,2025-07-05,5,10
AMD_RUB,test,275,275,0,2025-07-12,2026-08-20,5,10
KGS_RUB,train,1317,1227,90,2019-05-24,2024-05-16,5,10
KGS_RUB,validation,274,274,0,2024-05-23,2025-06-28,5,10
KGS_RUB,refit,1600,1510,90,2019-05-24,2025-07-05,5,10
KGS_RUB,test,275,275,0,2025-07-12,2026-08-20,5,10
KZT_RUB,train,1317,1227,90,2019-05-24,2024-05-16,5,10
KZT_RUB,validation,274,274,0,2024-05-23,2025-06-28,5,10
KZT_RUB,refit,1600,1510,90,2019-05-24,2025-07-05,5,10
KZT_RUB,test,275,275,0,2025-07-12,2026-08-20,5,10
TJS_RUB,train,1317,1227,90,2019-05-24,2024-05-16,5,10
TJS_RUB,validation,274,274,0,2024-05-23,2025-06-28,5,10
TJS_RUB,refit,1600,1510,90,2019-05-24,2025-07-05,5,10
TJS_RUB,test,275,275,0,2025-07-12,2026-08-20,5,10
UZS_RUB,train,1317,1227,90,2019-05-24,2024-05-16,5,10
UZS_RUB,validation,274,274,0,2024-05-23,2025-06-28,5,10
UZS_RUB,refit,1600,1510,90,2019-05-24,2025-07-05,5,10
UZS_RUB,test,275,275,0,2025-07-12,2026-08-20,5,10
