corridor,signal_type,actual_positives,predicted_positives,TP,FP,FN,precision,recall,F0.5
AMD_RUB,GOOD_DAY,44,29,13,16,31,0.4482758620689655,0.29545454545454547,0.40625
AMD_RUB,WINDOW_CLOSING,11,1,0,1,11,0.0,0.0,
KGS_RUB,GOOD_DAY,46,29,14,15,32,0.4827586206896552,0.30434782608695654,0.43209876543209874
KGS_RUB,WINDOW_CLOSING,8,2,0,2,8,0.0,0.0,
KZT_RUB,GOOD_DAY,24,10,2,8,22,0.2,0.08333333333333333,0.15625
KZT_RUB,WINDOW_CLOSING,13,1,0,1,13,0.0,0.0,
TJS_RUB,GOOD_DAY,51,36,23,13,28,0.6388888888888888,0.45098039215686275,0.5897435897435896
TJS_RUB,WINDOW_CLOSING,10,2,0,2,10,0.0,0.0,
UZS_RUB,GOOD_DAY,38,23,8,15,30,0.34782608695652173,0.21052631578947367,0.3076923076923077
UZS_RUB,WINDOW_CLOSING,10,3,1,2,9,0.3333333333333333,0.1,0.22727272727272724
