corridor,rule,F,A,R,n_signals,signal_frequency,mean_signals_per_month,median_signals_per_month,months_with_zero_signals,hit_rate
AMD_RUB,RULE_1_STRICT,0.9,0.002,0.002,18,0.06545454545454546,1.2857142857142858,0.0,9,0.3333333333333333
AMD_RUB,RULE_2,0.9,0.0,0.005,28,0.10181818181818182,2.0,0.5,7,0.39285714285714285
AMD_RUB,RULE_3_BALANCED,0.85,0.0,0.005,30,0.10909090909090909,2.142857142857143,0.5,7,0.4
AMD_RUB,RULE_4_SOFT,0.85,,0.005,52,0.1890909090909091,3.7142857142857144,1.0,7,0.5
AMD_RUB,RULE_5_BROAD,0.8,,0.01,68,0.24727272727272728,4.857142857142857,2.0,6,0.38235294117647056
KGS_RUB,RULE_1_STRICT,0.9,0.002,0.002,15,0.05454545454545454,1.0714285714285714,0.0,8,0.26666666666666666
KGS_RUB,RULE_2,0.9,0.0,0.005,32,0.11636363636363636,2.2857142857142856,0.5,7,0.3125
KGS_RUB,RULE_3_BALANCED,0.85,0.0,0.005,33,0.12,2.357142857142857,0.5,7,0.30303030303030304
KGS_RUB,RULE_4_SOFT,0.85,,0.005,61,0.22181818181818183,4.357142857142857,2.0,7,0.45901639344262296
KGS_RUB,RULE_5_BROAD,0.8,,0.01,76,0.27636363636363637,5.428571428571429,4.0,6,0.3684210526315789
KZT_RUB,RULE_1_STRICT,0.9,0.002,0.002,17,0.06181818181818182,1.2142857142857142,0.0,9,0.35294117647058826
KZT_RUB,RULE_2,0.9,0.0,0.005,25,0.09090909090909091,1.7857142857142858,0.0,8,0.4
KZT_RUB,RULE_3_BALANCED,0.85,0.0,0.005,27,0.09818181818181818,1.9285714285714286,0.5,7,0.4074074074074074
KZT_RUB,RULE_4_SOFT,0.85,,0.005,52,0.1890909090909091,3.7142857142857144,1.0,7,0.46153846153846156
KZT_RUB,RULE_5_BROAD,0.8,,0.01,61,0.22181818181818183,4.357142857142857,3.5,6,0.39344262295081966
TJS_RUB,RULE_1_STRICT,0.9,0.002,0.002,26,0.09454545454545454,1.8571428571428572,1.0,7,0.34615384615384615
TJS_RUB,RULE_2,0.9,0.0,0.005,32,0.11636363636363636,2.2857142857142856,1.0,7,0.34375
TJS_RUB,RULE_3_BALANCED,0.85,0.0,0.005,33,0.12,2.357142857142857,1.5,6,0.36363636363636365
TJS_RUB,RULE_4_SOFT,0.85,,0.005,60,0.21818181818181817,4.285714285714286,3.0,5,0.4666666666666667
TJS_RUB,RULE_5_BROAD,0.8,,0.01,73,0.26545454545454544,5.214285714285714,3.5,5,0.3835616438356164
UZS_RUB,RULE_1_STRICT,0.9,0.002,0.002,11,0.04,0.7857142857142857,0.0,8,0.36363636363636365
UZS_RUB,RULE_2,0.9,0.0,0.005,27,0.09818181818181818,1.9285714285714286,0.5,7,0.4074074074074074
UZS_RUB,RULE_3_BALANCED,0.85,0.0,0.005,31,0.11272727272727273,2.2142857142857144,1.0,7,0.3548387096774194
UZS_RUB,RULE_4_SOFT,0.85,,0.005,63,0.2290909090909091,4.5,3.5,6,0.38095238095238093
UZS_RUB,RULE_5_BROAD,0.8,,0.01,74,0.2690909090909091,5.285714285714286,4.0,6,0.32432432432432434
