metric_family,scope,signal_type,rows,true_positive,false_positive,false_negative,true_negative,predicted_positive,actual_positive,precision,recall,f_beta,beta,prevalence,random_precision,classification_lift,average_precision,scenario,h_days,signal_count,safety_count,safety_hits,safety_hit_rate,closing_confirmation_count,closing_confirmation_hits,closing_confirmation_hit_rate,benefit_count,benefit_mean_bps,benefit_median_bps,benefit_positive_share,estimated_mean_value_rub,random_safety_hit_rate_mean,random_safety_hit_rate_p05,random_safety_hit_rate_p95,random_closing_confirmation_hit_rate_mean,random_benefit_mean_bps,random_benefit_mean_bps_p05,random_benefit_mean_bps_p95,random_benefit_positive_share,safety_lift,closing_confirmation_lift,incremental_benefit_bps,safety_randomization_p,closing_confirmation_randomization_p,benefit_randomization_p
classification,PORTFOLIO,GOOD_DAY,840.0,20.0,27.0,183.0,610.0,47.0,203.0,0.425531914893617,0.09852216748768473,0.2557544757033248,0.5,0.24166666666666667,0.24166666666666667,1.760821716801174,0.5051398312929088,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classification,PORTFOLIO,WINDOW_CLOSING,840.0,1.0,6.0,51.0,782.0,7.0,52.0,0.14285714285714285,0.019230769230769232,0.0625,0.5,0.06190476190476191,0.06190476190476191,2.3076923076923075,0.14066678904548952,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classification,AMD_RUB,GOOD_DAY,168.0,4.0,6.0,40.0,118.0,10.0,44.0,0.4,0.09090909090909091,0.23809523809523808,0.5,0.2619047619047619,0.2619047619047619,1.5272727272727273,0.5434169988268427,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classification,AMD_RUB,WINDOW_CLOSING,168.0,0.0,1.0,11.0,156.0,1.0,11.0,0.0,0.0,,0.5,0.06547619047619048,0.06547619047619048,0.0,0.1503345847789278,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classification,KGS_RUB,GOOD_DAY,168.0,5.0,6.0,41.0,116.0,11.0,46.0,0.45454545454545453,0.10869565217391304,0.27777777777777773,0.5,0.27380952380952384,0.27380952380952384,1.660079051383399,0.5715681437534184,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classification,KGS_RUB,WINDOW_CLOSING,168.0,0.0,1.0,8.0,159.0,1.0,8.0,0.0,0.0,,0.5,0.047619047619047616,0.047619047619047616,0.0,0.18158811880651682,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classification,KZT_RUB,GOOD_DAY,168.0,2.0,4.0,22.0,140.0,6.0,24.0,0.3333333333333333,0.08333333333333333,0.20833333333333331,0.5,0.14285714285714285,0.14285714285714285,2.3333333333333335,0.29703827141381567,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classification,KZT_RUB,WINDOW_CLOSING,168.0,0.0,0.0,13.0,155.0,0.0,13.0,,0.0,,0.5,0.07738095238095238,0.07738095238095238,,0.13454946927031097,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classification,TJS_RUB,GOOD_DAY,168.0,6.0,6.0,45.0,111.0,12.0,51.0,0.5,0.11764705882352941,0.30303030303030304,0.5,0.30357142857142855,0.30357142857142855,1.647058823529412,0.5931320038871895,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classification,TJS_RUB,WINDOW_CLOSING,168.0,0.0,2.0,10.0,156.0,2.0,10.0,0.0,0.0,,0.5,0.05952380952380952,0.05952380952380952,0.0,0.1924915374284355,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classification,UZS_RUB,GOOD_DAY,168.0,3.0,5.0,35.0,125.0,8.0,38.0,0.375,0.07894736842105263,0.21428571428571427,0.5,0.2261904761904762,0.2261904761904762,1.6578947368421053,0.43422719848473224,,,,,,,,,,,,,,,,,,,,,,,,,,,,
classification,UZS_RUB,WINDOW_CLOSING,168.0,1.0,2.0,9.0,156.0,3.0,10.0,0.3333333333333333,0.1,0.22727272727272724,0.5,0.05952380952380952,0.05952380952380952,5.6,0.1678538590459742,,,,,,,,,,,,,,,,,,,,,,,,,,,,
factual_count,PORTFOLIO,POSITIVE_MARKET_FACT,840.0,66.0,,,,66.0,281.0,,,,0.5,0.3345238095238095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
factual_count,AMD_RUB,POSITIVE_MARKET_FACT,168.0,13.0,,,,13.0,55.0,,,,0.5,0.3273809523809524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
factual_count,KGS_RUB,POSITIVE_MARKET_FACT,168.0,13.0,,,,13.0,63.0,,,,0.5,0.375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
factual_count,KZT_RUB,POSITIVE_MARKET_FACT,168.0,15.0,,,,15.0,49.0,,,,0.5,0.2916666666666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
factual_count,TJS_RUB,POSITIVE_MARKET_FACT,168.0,13.0,,,,13.0,62.0,,,,0.5,0.36904761904761907,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
