corridor,month,good_day,positive_market_fact,window_closing,total_pushes
AMD_RUB,2026-01,2.0,1.0,0.0,3
AMD_RUB,2026-02,3.0,1.0,0.0,4
AMD_RUB,2026-03,0.0,2.0,0.0,2
AMD_RUB,2026-04,1.0,3.0,1.0,5
AMD_RUB,2026-05,3.0,1.0,0.0,4
AMD_RUB,2026-06,1.0,2.0,0.0,3
AMD_RUB,2026-07,0.0,2.0,0.0,2
AMD_RUB,2026-08,0.0,1.0,0.0,1
KGS_RUB,2026-01,2.0,1.0,0.0,3
KGS_RUB,2026-02,3.0,0.0,1.0,4
KGS_RUB,2026-03,0.0,2.0,0.0,2
KGS_RUB,2026-04,2.0,3.0,0.0,5
KGS_RUB,2026-05,4.0,1.0,0.0,5
KGS_RUB,2026-06,0.0,2.0,0.0,2
KGS_RUB,2026-07,0.0,3.0,0.0,3
KGS_RUB,2026-08,0.0,1.0,0.0,1
KZT_RUB,2026-01,0.0,2.0,0.0,2
KZT_RUB,2026-02,1.0,2.0,0.0,3
KZT_RUB,2026-03,0.0,3.0,0.0,3
KZT_RUB,2026-04,2.0,1.0,0.0,3
KZT_RUB,2026-05,2.0,3.0,0.0,5
KZT_RUB,2026-06,1.0,3.0,0.0,4
KZT_RUB,2026-07,0.0,1.0,0.0,1
KZT_RUB,2026-08,0.0,0.0,0.0,0
TJS_RUB,2026-01,2.0,1.0,0.0,3
TJS_RUB,2026-02,3.0,0.0,1.0,4
TJS_RUB,2026-03,1.0,2.0,0.0,3
TJS_RUB,2026-04,2.0,2.0,1.0,5
TJS_RUB,2026-05,3.0,2.0,0.0,5
TJS_RUB,2026-06,0.0,2.0,0.0,2
TJS_RUB,2026-07,1.0,3.0,0.0,4
TJS_RUB,2026-08,0.0,1.0,0.0,1
UZS_RUB,2026-01,0.0,2.0,0.0,2
UZS_RUB,2026-02,2.0,0.0,1.0,3
UZS_RUB,2026-03,0.0,2.0,1.0,3
UZS_RUB,2026-04,2.0,2.0,1.0,5
UZS_RUB,2026-05,4.0,1.0,0.0,5
UZS_RUB,2026-06,0.0,2.0,0.0,2
UZS_RUB,2026-07,0.0,2.0,0.0,2
UZS_RUB,2026-08,0.0,1.0,0.0,1
