corridor,month,policy,n_signals,n_good_hits,hit_rate
AMD_RUB,2025-07,BEFORE_COOLDOWN,3,3,1.0
AMD_RUB,2025-08,BEFORE_COOLDOWN,0,0,
AMD_RUB,2025-09,BEFORE_COOLDOWN,0,0,
AMD_RUB,2025-10,BEFORE_COOLDOWN,0,0,
AMD_RUB,2025-11,BEFORE_COOLDOWN,5,0,0.0
AMD_RUB,2025-12,BEFORE_COOLDOWN,7,3,0.42857142857142855
AMD_RUB,2026-01,BEFORE_COOLDOWN,5,5,1.0
AMD_RUB,2026-02,BEFORE_COOLDOWN,1,1,1.0
AMD_RUB,2026-03,BEFORE_COOLDOWN,0,0,
AMD_RUB,2026-04,BEFORE_COOLDOWN,2,2,1.0
AMD_RUB,2026-05,BEFORE_COOLDOWN,10,4,0.4
AMD_RUB,2026-06,BEFORE_COOLDOWN,1,1,1.0
AMD_RUB,2026-07,BEFORE_COOLDOWN,0,0,
AMD_RUB,2026-08,BEFORE_COOLDOWN,0,0,
AMD_RUB,2025-07,AFTER_COOLDOWN,1,1,1.0
AMD_RUB,2025-08,AFTER_COOLDOWN,0,0,
AMD_RUB,2025-09,AFTER_COOLDOWN,0,0,
AMD_RUB,2025-10,AFTER_COOLDOWN,0,0,
AMD_RUB,2025-11,AFTER_COOLDOWN,2,0,0.0
AMD_RUB,2025-12,AFTER_COOLDOWN,2,0,0.0
AMD_RUB,2026-01,AFTER_COOLDOWN,2,2,1.0
AMD_RUB,2026-02,AFTER_COOLDOWN,1,1,1.0
AMD_RUB,2026-03,AFTER_COOLDOWN,0,0,
AMD_RUB,2026-04,AFTER_COOLDOWN,2,2,1.0
AMD_RUB,2026-05,AFTER_COOLDOWN,3,1,0.3333333333333333
AMD_RUB,2026-06,AFTER_COOLDOWN,1,1,1.0
AMD_RUB,2026-07,AFTER_COOLDOWN,0,0,
AMD_RUB,2026-08,AFTER_COOLDOWN,0,0,
KGS_RUB,2025-07,BEFORE_COOLDOWN,4,4,1.0
KGS_RUB,2025-08,BEFORE_COOLDOWN,0,0,
KGS_RUB,2025-09,BEFORE_COOLDOWN,0,0,
KGS_RUB,2025-10,BEFORE_COOLDOWN,0,0,
KGS_RUB,2025-11,BEFORE_COOLDOWN,6,0,0.0
KGS_RUB,2025-12,BEFORE_COOLDOWN,9,3,0.3333333333333333
KGS_RUB,2026-01,BEFORE_COOLDOWN,9,5,0.5555555555555556
KGS_RUB,2026-02,BEFORE_COOLDOWN,3,1,0.3333333333333333
KGS_RUB,2026-03,BEFORE_COOLDOWN,0,0,
KGS_RUB,2026-04,BEFORE_COOLDOWN,6,2,0.3333333333333333
KGS_RUB,2026-05,BEFORE_COOLDOWN,13,4,0.3076923076923077
KGS_RUB,2026-06,BEFORE_COOLDOWN,2,2,1.0
KGS_RUB,2026-07,BEFORE_COOLDOWN,0,0,
KGS_RUB,2026-08,BEFORE_COOLDOWN,0,0,
KGS_RUB,2025-07,AFTER_COOLDOWN,2,2,1.0
KGS_RUB,2025-08,AFTER_COOLDOWN,0,0,
KGS_RUB,2025-09,AFTER_COOLDOWN,0,0,
KGS_RUB,2025-10,AFTER_COOLDOWN,0,0,
KGS_RUB,2025-11,AFTER_COOLDOWN,2,0,0.0
KGS_RUB,2025-12,AFTER_COOLDOWN,3,1,0.3333333333333333
KGS_RUB,2026-01,AFTER_COOLDOWN,3,2,0.6666666666666666
KGS_RUB,2026-02,AFTER_COOLDOWN,1,0,0.0
KGS_RUB,2026-03,AFTER_COOLDOWN,0,0,
KGS_RUB,2026-04,AFTER_COOLDOWN,3,1,0.3333333333333333
KGS_RUB,2026-05,AFTER_COOLDOWN,4,2,0.5
KGS_RUB,2026-06,AFTER_COOLDOWN,1,1,1.0
KGS_RUB,2026-07,AFTER_COOLDOWN,0,0,
KGS_RUB,2026-08,AFTER_COOLDOWN,0,0,
KZT_RUB,2025-07,BEFORE_COOLDOWN,5,3,0.6
KZT_RUB,2025-08,BEFORE_COOLDOWN,2,2,1.0
KZT_RUB,2025-09,BEFORE_COOLDOWN,0,0,
KZT_RUB,2025-10,BEFORE_COOLDOWN,5,3,0.6
KZT_RUB,2025-11,BEFORE_COOLDOWN,0,0,
KZT_RUB,2025-12,BEFORE_COOLDOWN,0,0,
KZT_RUB,2026-01,BEFORE_COOLDOWN,1,1,1.0
KZT_RUB,2026-02,BEFORE_COOLDOWN,0,0,
KZT_RUB,2026-03,BEFORE_COOLDOWN,0,0,
KZT_RUB,2026-04,BEFORE_COOLDOWN,0,0,
KZT_RUB,2026-05,BEFORE_COOLDOWN,5,1,0.2
KZT_RUB,2026-06,BEFORE_COOLDOWN,2,1,0.5
KZT_RUB,2026-07,BEFORE_COOLDOWN,0,0,
KZT_RUB,2026-08,BEFORE_COOLDOWN,0,0,
KZT_RUB,2025-07,AFTER_COOLDOWN,2,1,0.5
KZT_RUB,2025-08,AFTER_COOLDOWN,1,1,1.0
KZT_RUB,2025-09,AFTER_COOLDOWN,0,0,
KZT_RUB,2025-10,AFTER_COOLDOWN,3,1,0.3333333333333333
KZT_RUB,2025-11,AFTER_COOLDOWN,0,0,
KZT_RUB,2025-12,AFTER_COOLDOWN,0,0,
KZT_RUB,2026-01,AFTER_COOLDOWN,1,1,1.0
KZT_RUB,2026-02,AFTER_COOLDOWN,0,0,
KZT_RUB,2026-03,AFTER_COOLDOWN,0,0,
KZT_RUB,2026-04,AFTER_COOLDOWN,0,0,
KZT_RUB,2026-05,AFTER_COOLDOWN,2,0,0.0
KZT_RUB,2026-06,AFTER_COOLDOWN,1,0,0.0
KZT_RUB,2026-07,AFTER_COOLDOWN,0,0,
KZT_RUB,2026-08,AFTER_COOLDOWN,0,0,
TJS_RUB,2025-07,BEFORE_COOLDOWN,0,0,
TJS_RUB,2025-08,BEFORE_COOLDOWN,0,0,
TJS_RUB,2025-09,BEFORE_COOLDOWN,0,0,
TJS_RUB,2025-10,BEFORE_COOLDOWN,0,0,
TJS_RUB,2025-11,BEFORE_COOLDOWN,2,0,0.0
TJS_RUB,2025-12,BEFORE_COOLDOWN,11,6,0.5454545454545454
TJS_RUB,2026-01,BEFORE_COOLDOWN,13,4,0.3076923076923077
TJS_RUB,2026-02,BEFORE_COOLDOWN,18,7,0.3888888888888889
TJS_RUB,2026-03,BEFORE_COOLDOWN,1,1,1.0
TJS_RUB,2026-04,BEFORE_COOLDOWN,14,6,0.42857142857142855
TJS_RUB,2026-05,BEFORE_COOLDOWN,19,8,0.42105263157894735
TJS_RUB,2026-06,BEFORE_COOLDOWN,5,4,0.8
TJS_RUB,2026-07,BEFORE_COOLDOWN,0,0,
TJS_RUB,2026-08,BEFORE_COOLDOWN,0,0,
TJS_RUB,2025-07,AFTER_COOLDOWN,0,0,
TJS_RUB,2025-08,AFTER_COOLDOWN,0,0,
TJS_RUB,2025-09,AFTER_COOLDOWN,0,0,
TJS_RUB,2025-10,AFTER_COOLDOWN,0,0,
TJS_RUB,2025-11,AFTER_COOLDOWN,1,0,0.0
TJS_RUB,2025-12,AFTER_COOLDOWN,3,1,0.3333333333333333
TJS_RUB,2026-01,AFTER_COOLDOWN,4,1,0.25
TJS_RUB,2026-02,AFTER_COOLDOWN,4,3,0.75
TJS_RUB,2026-03,AFTER_COOLDOWN,0,0,
TJS_RUB,2026-04,AFTER_COOLDOWN,4,2,0.5
TJS_RUB,2026-05,AFTER_COOLDOWN,5,2,0.4
TJS_RUB,2026-06,AFTER_COOLDOWN,1,0,0.0
TJS_RUB,2026-07,AFTER_COOLDOWN,0,0,
TJS_RUB,2026-08,AFTER_COOLDOWN,0,0,
UZS_RUB,2025-07,BEFORE_COOLDOWN,2,1,0.5
UZS_RUB,2025-08,BEFORE_COOLDOWN,0,0,
UZS_RUB,2025-09,BEFORE_COOLDOWN,0,0,
UZS_RUB,2025-10,BEFORE_COOLDOWN,0,0,
UZS_RUB,2025-11,BEFORE_COOLDOWN,0,0,
UZS_RUB,2025-12,BEFORE_COOLDOWN,4,4,1.0
UZS_RUB,2026-01,BEFORE_COOLDOWN,7,1,0.14285714285714285
UZS_RUB,2026-02,BEFORE_COOLDOWN,1,1,1.0
UZS_RUB,2026-03,BEFORE_COOLDOWN,0,0,
UZS_RUB,2026-04,BEFORE_COOLDOWN,3,2,0.6666666666666666
UZS_RUB,2026-05,BEFORE_COOLDOWN,8,2,0.25
UZS_RUB,2026-06,BEFORE_COOLDOWN,2,2,1.0
UZS_RUB,2026-07,BEFORE_COOLDOWN,0,0,
UZS_RUB,2026-08,BEFORE_COOLDOWN,0,0,
UZS_RUB,2025-07,AFTER_COOLDOWN,1,0,0.0
UZS_RUB,2025-08,AFTER_COOLDOWN,0,0,
UZS_RUB,2025-09,AFTER_COOLDOWN,0,0,
UZS_RUB,2025-10,AFTER_COOLDOWN,0,0,
UZS_RUB,2025-11,AFTER_COOLDOWN,0,0,
UZS_RUB,2025-12,AFTER_COOLDOWN,2,2,1.0
UZS_RUB,2026-01,AFTER_COOLDOWN,2,0,0.0
UZS_RUB,2026-02,AFTER_COOLDOWN,1,1,1.0
UZS_RUB,2026-03,AFTER_COOLDOWN,0,0,
UZS_RUB,2026-04,AFTER_COOLDOWN,2,1,0.5
UZS_RUB,2026-05,AFTER_COOLDOWN,3,1,0.3333333333333333
UZS_RUB,2026-06,AFTER_COOLDOWN,1,1,1.0
UZS_RUB,2026-07,AFTER_COOLDOWN,0,0,
UZS_RUB,2026-08,AFTER_COOLDOWN,0,0,
