rule,horizon_calendar_days,x_bps,corridor,good_days,pushes,observed_weeks,pushes_per_week,weeks_with_push,weeks_with_two_pushes,median_gap_days,cooldown_calendar_days,weekly_cap
regret_max,1,100,TJS_RUB,253,81,56,1.4464285714285714,56,25,4.0,4,2
regret_max,3,100,TJS_RUB,221,77,56,1.375,56,21,4.0,4,2
regret_max,5,100,TJS_RUB,190,68,56,1.2142857142857142,54,14,5.0,4,2
regret_max,10,100,TJS_RUB,152,52,56,0.9285714285714286,40,12,5.0,4,2
regret_max,20,100,TJS_RUB,118,43,56,0.7678571428571429,32,11,4.0,4,2
near_local_min,1,100,TJS_RUB,227,77,56,1.375,56,21,4.0,4,2
near_local_min,3,100,TJS_RUB,168,66,56,1.1785714285714286,51,15,6.0,4,2
near_local_min,5,100,TJS_RUB,122,50,56,0.8928571428571429,44,6,7.0,4,2
near_local_min,10,100,TJS_RUB,65,29,56,0.5178571428571429,26,3,11.5,4,2
near_local_min,20,100,TJS_RUB,40,18,56,0.32142857142857145,15,3,12.0,4,2
centered_mean_benefit,1,100,TJS_RUB,3,3,56,0.05357142857142857,3,0,119.5,4,2
centered_mean_benefit,3,100,TJS_RUB,12,8,56,0.14285714285714285,8,0,25.0,4,2
centered_mean_benefit,5,100,TJS_RUB,26,16,56,0.2857142857142857,16,0,18.0,4,2
centered_mean_benefit,10,100,TJS_RUB,46,23,56,0.4107142857142857,23,0,13.5,4,2
centered_mean_benefit,20,100,TJS_RUB,77,31,56,0.5535714285714286,26,5,6.0,4,2
future_median_benefit,1,100,TJS_RUB,24,16,56,0.2857142857142857,16,0,21.0,4,2
future_median_benefit,3,100,TJS_RUB,34,19,56,0.3392857142857143,19,0,14.0,4,2
future_median_benefit,5,100,TJS_RUB,50,24,56,0.42857142857142855,24,0,13.0,4,2
future_median_benefit,10,100,TJS_RUB,72,28,56,0.5,25,3,10.0,4,2
future_median_benefit,20,100,TJS_RUB,90,34,56,0.6071428571428571,28,6,6.0,4,2
stable_80pct,1,100,TJS_RUB,253,81,56,1.4464285714285714,56,25,4.0,4,2
stable_80pct,3,100,TJS_RUB,221,77,56,1.375,56,21,4.0,4,2
stable_80pct,5,100,TJS_RUB,210,70,56,1.25,54,16,5.0,4,2
stable_80pct,10,100,TJS_RUB,173,61,56,1.0892857142857142,45,16,4.0,4,2
stable_80pct,20,100,TJS_RUB,153,54,56,0.9642857142857143,41,13,6.0,4,2
no_early_better,1,100,TJS_RUB,253,81,56,1.4464285714285714,56,25,4.0,4,2
no_early_better,3,100,TJS_RUB,238,80,56,1.4285714285714286,56,24,4.0,4,2
no_early_better,5,100,TJS_RUB,221,77,56,1.375,56,21,4.0,4,2
no_early_better,10,100,TJS_RUB,190,68,56,1.2142857142857142,54,14,5.0,4,2
no_early_better,20,100,TJS_RUB,152,52,56,0.9285714285714286,40,12,5.0,4,2
low_p10_30_and_regret,1,100,TJS_RUB,51,21,56,0.375,19,2,6.5,4,2
low_p10_30_and_regret,3,100,TJS_RUB,46,21,56,0.375,19,2,6.5,4,2
low_p10_30_and_regret,5,100,TJS_RUB,40,18,56,0.32142857142857145,17,1,8.0,4,2
low_p10_30_and_regret,10,100,TJS_RUB,31,14,56,0.25,13,1,8.0,4,2
low_p10_30_and_regret,20,100,TJS_RUB,27,13,56,0.23214285714285715,12,1,10.0,4,2
low_p20_60_and_regret,1,100,TJS_RUB,82,30,56,0.5357142857142857,24,6,6.0,4,2
low_p20_60_and_regret,3,100,TJS_RUB,75,30,56,0.5357142857142857,24,6,5.0,4,2
low_p20_60_and_regret,5,100,TJS_RUB,64,26,56,0.4642857142857143,23,3,6.0,4,2
low_p20_60_and_regret,10,100,TJS_RUB,49,20,56,0.35714285714285715,17,3,6.0,4,2
low_p20_60_and_regret,20,100,TJS_RUB,40,18,56,0.32142857142857145,15,3,6.0,4,2
