rule,thresholds,actual_regret_tolerance,total_signals,overall_signal_frequency,macro_hit_rate,macro_uplift,median_uplift,corridors_uplift_gt_1,corridors_uplift_ge_1_3,mean_actual_regret_signal,status,is_primary
GRID_F0.80_PANONE_PR0.002,fav>=0.800; past_advantage>=NONE; predicted_regret<=0.002,0.005,390,0.28363636363636363,0.45457581089563986,0.9569948807016795,0.9726680284019065,2,0,0.009433956120430699,OK,False
GRID_F0.80_PANONE_PR0.005,fav>=0.800; past_advantage>=NONE; predicted_regret<=0.005,0.005,432,0.3141818181818182,0.4578482524606212,0.967891430386748,0.9947841049631659,2,0,0.00947808395684371,TOO_FREQUENT,False
RULE_A,fav>=0.800; past_advantage>=NONE; predicted_regret<=0.010,0.005,432,0.3141818181818182,0.4578482524606212,0.9674498920282242,0.992862126334997,2,0,0.00947808395684371,TOO_FREQUENT,True
GRID_F0.80_PA0.000_PR0.002,fav>=0.800; past_advantage>=0.000; predicted_regret<=0.002,0.005,122,0.08872727272727272,0.3804345862315329,0.8160283003539265,0.7562216416884366,1,0,0.011294559862298078,OK,False
GRID_F0.80_PA0.000_PR0.005,fav>=0.800; past_advantage>=0.000; predicted_regret<=0.005,0.005,157,0.11418181818181818,0.3932471450118509,0.8424846234822111,0.7575757575757576,1,0,0.011156745055769487,OK,False
GRID_F0.80_PA0.000_PR0.010,fav>=0.800; past_advantage>=0.000; predicted_regret<=0.010,0.005,157,0.11418181818181818,0.3932471450118509,0.844158815972708,0.7593457943925233,1,0,0.011156745055769487,OK,False
GRID_F0.80_PA0.002_PR0.002,fav>=0.800; past_advantage>=0.002; predicted_regret<=0.002,0.005,93,0.06763636363636363,0.38649122807017544,0.8188933950338312,0.7380073800738007,1,1,0.01064443554760832,OK,False
GRID_F0.80_PA0.002_PR0.005,fav>=0.800; past_advantage>=0.002; predicted_regret<=0.005,0.005,126,0.09163636363636364,0.40548835125448035,0.8715142329881939,0.7923930269413629,1,1,0.010378253778444996,OK,False
GRID_F0.80_PA0.002_PR0.010,fav>=0.800; past_advantage>=0.002; predicted_regret<=0.010,0.005,126,0.09163636363636364,0.40548835125448035,0.8622827232932335,0.7958162801273306,1,1,0.010378253778444996,OK,False
GRID_F0.80_PA0.005_PR0.002,fav>=0.800; past_advantage>=0.005; predicted_regret<=0.002,0.005,48,0.03490909090909091,0.3173826173826174,0.6838907712025196,0.6353240152477764,1,0,0.01046935210417167,OK,False
GRID_F0.80_PA0.005_PR0.005,fav>=0.800; past_advantage>=0.005; predicted_regret<=0.005,0.005,81,0.05890909090909091,0.38548245614035087,0.821130114484214,0.8133860097606321,1,1,0.01012662186613254,OK,False
GRID_F0.80_PA0.005_PR0.010,fav>=0.800; past_advantage>=0.005; predicted_regret<=0.010,0.005,81,0.05890909090909091,0.38548245614035087,0.8298441621193051,0.8174386920980927,1,1,0.01012662186613254,OK,False
GRID_F0.85_PANONE_PR0.002,fav>=0.850; past_advantage>=NONE; predicted_regret<=0.002,0.005,321,0.23345454545454544,0.4606001556945474,0.974814013544588,0.9549795361527966,2,0,0.00901308889348306,OK,False
GRID_F0.85_PANONE_PR0.005,fav>=0.850; past_advantage>=NONE; predicted_regret<=0.005,0.005,358,0.26036363636363635,0.47012805303311056,0.9968033927937998,1.0330578512396695,3,0,0.00899852012655307,OK,False
