rule,thresholds,favourability_threshold,past_advantage_threshold,predicted_regret_threshold,is_primary,corridor,actual_regret_tolerance,n_rows,n_signals,signal_frequency,hit_rate,random_hit_rate,uplift,mean_actual_regret_signal,median_actual_regret_signal,p90_actual_regret_signal
GRID_F0.80_PANONE_PR0.002,fav>=0.800; past_advantage>=NONE; predicted_regret<=0.002,0.8,,0.002,False,AMD_RUB,0.005,275,81,0.29454545454545455,0.5432098765432098,0.5003456790123457,1.085669166995657,0.007892455707133643,0.0039935866539449,0.022154957769858
GRID_F0.80_PANONE_PR0.002,fav>=0.800; past_advantage>=NONE; predicted_regret<=0.002,0.8,,0.002,False,KGS_RUB,0.005,275,90,0.32727272727272727,0.4444444444444444,0.49817777777777783,0.8921402444464268,0.009798027715031384,0.00610273872321165,0.023936742492251983
GRID_F0.80_PANONE_PR0.002,fav>=0.800; past_advantage>=NONE; predicted_regret<=0.002,0.8,,0.002,False,KZT_RUB,0.005,275,47,0.1709090909090909,0.425531914893617,0.43748936170212765,0.9726680284019065,0.010067948268974265,0.0075654113988236,0.02803560033988681
GRID_F0.80_PANONE_PR0.002,fav>=0.800; past_advantage>=NONE; predicted_regret<=0.002,0.8,,0.002,False,TJS_RUB,0.005,275,99,0.36,0.3939393939393939,0.4898181818181818,0.8042563721851027,0.0105080564267251,0.0073697227325731,0.02635110566924122
GRID_F0.80_PANONE_PR0.002,fav>=0.800; past_advantage>=NONE; predicted_regret<=0.002,0.8,,0.002,False,UZS_RUB,0.005,275,73,0.26545454545454544,0.4657534246575342,0.4520821917808219,1.0302405914793042,0.008830689389722566,0.0057652651942249,0.026284162996966554
GRID_F0.80_PANONE_PR0.005,fav>=0.800; past_advantage>=NONE; predicted_regret<=0.005,0.8,,0.005,False,AMD_RUB,0.005,275,86,0.31272727272727274,0.5348837209302325,0.5026976744186046,1.0640266469282014,0.008298958897793775,0.0042212659671879,0.0235212934318939
GRID_F0.80_PANONE_PR0.005,fav>=0.800; past_advantage>=NONE; predicted_regret<=0.005,0.8,,0.005,False,KGS_RUB,0.005,275,107,0.3890909090909091,0.42990654205607476,0.49785046728971966,0.8635254364557912,0.010152844969235866,0.006752753166887,0.02445332882618914
GRID_F0.80_PANONE_PR0.005,fav>=0.800; past_advantage>=NONE; predicted_regret<=0.005,0.8,,0.005,False,KZT_RUB,0.005,275,55,0.2,0.4727272727272727,0.43574545454545455,1.0848702328298423,0.009028868470867608,0.0050751047378997,0.02512913060842926
GRID_F0.80_PANONE_PR0.005,fav>=0.800; past_advantage>=NONE; predicted_regret<=0.005,0.8,,0.005,False,TJS_RUB,0.005,275,101,0.36727272727272725,0.40594059405940597,0.4877623762376238,0.8322507307567392,0.010334721499096032,0.0071393893690374,0.0263508182844604
GRID_F0.80_PANONE_PR0.005,fav>=0.800; past_advantage>=NONE; predicted_regret<=0.005,0.8,,0.005,False,UZS_RUB,0.005,275,83,0.3018181818181818,0.4457831325301205,0.4481204819277109,0.9947841049631659,0.009085213917247743,0.0057652651942249,0.026284162996966554
RULE_A,fav>=0.800; past_advantage>=NONE; predicted_regret<=0.010,0.8,,0.01,True,AMD_RUB,0.005,275,86,0.31272727272727274,0.5348837209302325,0.501093023255814,1.067433981528751,0.008298958897793775,0.0042212659671879,0.0235212934318939
