date,comparison_date,corridor,rate,ret_5,movement_abs,historical_percentile_floor,calendar_span_days,direction,movement_context,broad_rub_return_5,corridor_specific_return_5,same_day_main_proxy,push_example
2019-02-19,2019-02-12,AMD_RUB,0.135822,0.013725621907257013,0.013725621907257013,0.009567979229496926,7,валюта получателя укрепилась,смешанное движение,0.009277773696426314,0.004447848210830699,False,С 12.02 Армянский драм заметно укрепился к рублю. Проверьте актуальные условия перевода.
2019-03-19,2019-03-12,AMD_RUB,0.133037,-0.01605674220460329,0.01605674220460329,0.010233208755358405,7,рубль укрепился,общее движение рубля,-0.017680761117962723,0.0016240189133594311,True,"С 12.03 рубль заметно укрепился сразу к нескольким валютам, в том числе к армянскому драму. Проверьте актуальные условия перевода."
2019-03-29,2019-03-22,AMD_RUB,0.133254,0.015578080938952965,0.015578080938952965,0.01310400471271467,7,валюта получателя укрепилась,смешанное движение,0.009472610319624541,0.006105470619328424,False,С 22.03 Армянский драм заметно укрепился к рублю. Проверьте актуальные условия перевода.
2019-04-03,2019-03-27,AMD_RUB,0.134441,0.0182301528394202,0.0182301528394202,0.013715928658473287,7,валюта получателя укрепилась,общее движение рубля,0.016462802446172525,0.0017673503932476749,False,"С 27.03 рубль заметно ослаб сразу к нескольким валютам, в том числе к армянскому драму. Проверьте актуальные условия перевода."
2019-04-30,2019-04-23,AMD_RUB,0.134355,0.015463800648481962,0.015463800648481962,0.013293079432490142,7,валюта получателя укрепилась,общее движение рубля,0.010574079763948863,0.0048897208845331,False,"С 23.04 рубль заметно ослаб сразу к нескольким валютам, в том числе к армянскому драму. Проверьте актуальные условия перевода."
2019-05-07,2019-04-25,AMD_RUB,0.135761,0.022242803466684613,0.022242803466684613,0.01370623540968956,12,валюта получателя укрепилась,общее движение рубля,0.018159774791358812,0.004083028675325801,False,"С 25.04 рубль заметно ослаб сразу к нескольким валютам, в том числе к армянскому драму. Проверьте актуальные условия перевода."
2019-06-04,2019-05-28,AMD_RUB,0.13643,0.015867579058667536,0.015867579058667536,0.012975542622225954,7,валюта получателя укрепилась,общее движение рубля,0.015424642226122979,0.0004429368325445573,False,"С 28.05 рубль заметно ослаб сразу к нескольким валютам, в том числе к армянскому драму. Проверьте актуальные условия перевода."
2019-06-21,2019-06-14,AMD_RUB,0.132721,-0.017907222826529345,0.017907222826529345,0.012614458448616262,7,рубль укрепился,общее движение рубля,-0.016120011831080323,-0.0017872109954490227,False,"С 14.06 рубль заметно укрепился сразу к нескольким валютам, в том числе к армянскому драму. Проверьте актуальные условия перевода."
2019-07-03,2019-06-26,AMD_RUB,0.132689,0.014007764259949873,0.014007764259949873,0.012614458448616262,7,валюта получателя укрепилась,смешанное движение,0.008241293233479219,0.005766471026470654,False,С 26.06 Армянский драм заметно укрепился к рублю. Проверьте актуальные условия перевода.
2019-07-09,2019-07-02,AMD_RUB,0.13404,0.012937549120367597,0.012937549120367597,0.012547474786340685,7,валюта получателя укрепилась,смешанное движение,0.008347358802753316,0.004590190317614281,False,С 02.07 Армянский драм заметно укрепился к рублю. Проверьте актуальные условия перевода.
2019-07-16,2019-07-09,AMD_RUB,0.131743,-0.017136675619218056,0.017136675619218056,0.012691544294515956,7,рубль укрепился,общее движение рубля,-0.014641894077664475,-0.0024947815415535812,False,"С 09.07 рубль заметно укрепился сразу к нескольким валютам, в том числе к армянскому драму. Проверьте актуальные условия перевода."
