corridor,date,index,rule,priority
AMD_RUB,2019-02-14,25,Смена направления,2
AMD_RUB,2019-02-19,28,Необычное движение за 5 обновлений,3
AMD_RUB,2019-03-19,47,Необычное движение за 5 обновлений,3
AMD_RUB,2019-03-28,54,Смена направления,2
AMD_RUB,2019-04-03,58,Необычное движение за 5 обновлений,3
AMD_RUB,2019-04-26,75,Рывок после спокойного периода,1
AMD_RUB,2019-04-30,77,Необычное движение за 5 обновлений,3
AMD_RUB,2019-05-07,79,Необычное движение за 5 обновлений,3
AMD_RUB,2019-05-30,94,Рывок после спокойного периода,1
AMD_RUB,2019-06-04,97,Необычное движение за 5 обновлений,3
AMD_RUB,2019-06-20,108,Рывок после спокойного периода,1
AMD_RUB,2019-06-29,115,Смена направления,2
AMD_RUB,2019-07-03,117,Необычное движение за 5 обновлений,3
AMD_RUB,2019-07-09,121,Необычное движение за 5 обновлений,3
AMD_RUB,2019-07-16,126,Необычное движение за 5 обновлений,3
AMD_RUB,2019-07-30,136,Рывок после спокойного периода,1
AMD_RUB,2019-08-20,151,Необычное движение за 5 обновлений,3
AMD_RUB,2019-08-28,157,Смена направления,2
AMD_RUB,2019-09-11,167,Необычное движение за 5 обновлений,3
AMD_RUB,2019-09-28,180,Смена направления,2
AMD_RUB,2019-10-02,182,Необычное движение за 5 обновлений,3
AMD_RUB,2019-11-06,206,Рывок после спокойного периода,1
AMD_RUB,2019-12-06,228,Рывок после спокойного периода,1
AMD_RUB,2019-12-13,233,Рывок после спокойного периода,1
AMD_RUB,2019-12-26,242,Необычное движение за 5 обновлений,3
AMD_RUB,2020-01-11,248,Смена направления,2
AMD_RUB,2020-01-17,252,Смена направления,2
AMD_RUB,2020-01-22,255,Рывок после спокойного периода,1
AMD_RUB,2020-01-28,259,Необычное движение за 5 обновлений,3
AMD_RUB,2020-02-06,266,Необычное движение за 5 обновлений,3
AMD_RUB,2020-02-12,270,Смена направления,2
AMD_RUB,2020-02-22,278,Необычное движение за 5 обновлений,3
AMD_RUB,2020-03-05,285,Смена направления,2
AMD_RUB,2020-03-11,288,Смена направления,2
AMD_RUB,2020-03-18,293,Смена направления,2
AMD_RUB,2020-03-25,298,Смена направления,2
AMD_RUB,2020-04-07,302,Необычное движение за 5 обновлений,3
AMD_RUB,2020-04-17,310,Смена направления,2
AMD_RUB,2020-04-23,314,Необычное движение за 5 обновлений,3
AMD_RUB,2020-04-28,317,Смена направления,2
AMD_RUB,2020-07-11,366,Смена направления,2
AMD_RUB,2020-07-21,372,Смена направления,2
AMD_RUB,2020-07-31,380,Необычное движение за 5 обновлений,3
AMD_RUB,2020-08-07,385,Смена направления,2
AMD_RUB,2020-08-27,399,Необычное движение за 5 обновлений,3
AMD_RUB,2020-09-01,402,Смена направления,2
AMD_RUB,2020-09-08,407,Необычное движение за 5 обновлений,3
AMD_RUB,2020-09-22,417,Необычное движение за 5 обновлений,3
AMD_RUB,2020-09-29,422,Необычное движение за 5 обновлений,3
AMD_RUB,2020-10-10,431,Смена направления,2
AMD_RUB,2020-10-23,440,Смена направления,2
AMD_RUB,2020-10-29,444,Смена направления,2
AMD_RUB,2020-11-07,450,Смена направления,2
AMD_RUB,2020-11-19,458,Смена направления,2
AMD_RUB,2020-11-26,463,Необычное движение за 5 обновлений,3
AMD_RUB,2020-12-05,470,Смена направления,2
AMD_RUB,2020-12-15,476,Необычное движение за 5 обновлений,3
AMD_RUB,2020-12-26,485,Смена направления,2
AMD_RUB,2021-01-15,493,Смена направления,2
AMD_RUB,2021-01-27,501,Необычное движение за 5 обновлений,3
AMD_RUB,2021-02-10,511,Необычное движение за 5 обновлений,3
AMD_RUB,2021-03-20,537,Смена направления,2
AMD_RUB,2021-03-24,539,Необычное движение за 5 обновлений,3
AMD_RUB,2021-04-14,554,Необычное движение за 5 обновлений,3
AMD_RUB,2021-04-21,559,Смена направления,2
AMD_RUB,2021-04-27,563,Смена направления,2
AMD_RUB,2021-06-12,595,Необычное движение за 5 обновлений,3
AMD_RUB,2021-06-18,598,Смена направления,2
AMD_RUB,2021-06-22,600,Необычное движение за 5 обновлений,3
AMD_RUB,2021-07-09,613,Необычное движение за 5 обновлений,3
AMD_RUB,2021-07-14,616,Смена направления,2
AMD_RUB,2021-08-03,630,Необычное движение за 5 обновлений,3
AMD_RUB,2021-08-20,643,Рывок после спокойного периода,1
AMD_RUB,2021-09-22,666,Смена направления,2
AMD_RUB,2021-10-02,674,Смена направления,2
AMD_RUB,2021-10-06,676,Необычное движение за 5 обновлений,3
AMD_RUB,2021-10-13,681,Необычное движение за 5 обновлений,3
AMD_RUB,2021-10-26,690,Рывок после спокойного периода,1
AMD_RUB,2021-11-03,696,Необычное движение за 5 обновлений,3
AMD_RUB,2021-11-16,703,Смена направления,2
AMD_RUB,2021-11-24,709,Необычное движение за 5 обновлений,3
AMD_RUB,2021-12-01,714,Необычное движение за 5 обновлений,3
AMD_RUB,2021-12-10,721,Необычное движение за 5 обновлений,3
AMD_RUB,2021-12-24,731,Смена направления,2
AMD_RUB,2021-12-31,736,Смена направления,2
AMD_RUB,2022-01-19,743,Смена направления,2
AMD_RUB,2022-01-26,748,Необычное движение за 5 обновлений,3
AMD_RUB,2022-02-01,752,Смена направления,2
AMD_RUB,2022-02-15,762,Смена направления,2
AMD_RUB,2022-02-23,768,Смена направления,2
AMD_RUB,2022-03-15,780,Необычное движение за 5 обновлений,3
AMD_RUB,2022-03-25,788,Необычное движение за 5 обновлений,3
AMD_RUB,2022-04-08,798,Рывок после спокойного периода,1
AMD_RUB,2022-04-13,801,Смена направления,2
AMD_RUB,2022-05-06,816,Смена направления,2
AMD_RUB,2022-05-27,829,Смена направления,2
AMD_RUB,2022-06-02,833,Необычное движение за 5 обновлений,3
AMD_RUB,2022-07-05,855,Смена направления,2
AMD_RUB,2022-07-13,861,Смена направления,2
AMD_RUB,2022-07-26,870,Смена направления,2
AMD_RUB,2022-09-27,915,Смена направления,2
AMD_RUB,2022-10-06,922,Смена направления,2
AMD_RUB,2022-10-18,930,Смена направления,2
AMD_RUB,2022-11-12,948,Необычное движение за 5 обновлений,3
AMD_RUB,2022-12-08,966,Необычное движение за 5 обновлений,3
AMD_RUB,2022-12-15,971,Смена направления,2
AMD_RUB,2022-12-27,979,Смена направления,2
AMD_RUB,2023-01-11,985,Смена направления,2
AMD_RUB,2023-01-19,991,Смена направления,2
AMD_RUB,2023-02-10,1007,Необычное движение за 5 обновлений,3
AMD_RUB,2023-04-05,1042,Необычное движение за 5 обновлений,3
AMD_RUB,2023-05-04,1062,Смена направления,2
AMD_RUB,2023-05-16,1068,Смена направления,2
AMD_RUB,2023-06-15,1089,Необычное движение за 5 обновлений,3
AMD_RUB,2023-06-30,1100,Необычное движение за 5 обновлений,3
AMD_RUB,2023-07-12,1108,Смена направления,2
AMD_RUB,2023-07-29,1121,Рывок после спокойного периода,1
AMD_RUB,2023-08-04,1125,Необычное движение за 5 обновлений,3
AMD_RUB,2023-08-15,1132,Необычное движение за 5 обновлений,3
AMD_RUB,2023-09-13,1153,Смена направления,2
AMD_RUB,2023-10-03,1167,Рывок после спокойного периода,1
AMD_RUB,2023-10-11,1173,Необычное движение за 5 обновлений,3
AMD_RUB,2023-10-19,1179,Необычное движение за 5 обновлений,3
AMD_RUB,2023-10-25,1183,Необычное движение за 5 обновлений,3
AMD_RUB,2023-11-01,1188,Рывок после спокойного периода,1
AMD_RUB,2023-11-17,1199,Необычное движение за 5 обновлений,3
AMD_RUB,2023-12-07,1213,Необычное движение за 5 обновлений,3
AMD_RUB,2023-12-12,1216,Смена направления,2
AMD_RUB,2023-12-29,1229,Рывок после спокойного периода,1
AMD_RUB,2024-01-27,1244,Смена направления,2
AMD_RUB,2024-03-20,1279,Необычное движение за 5 обновлений,3
AMD_RUB,2024-04-19,1301,Смена направления,2
AMD_RUB,2024-04-25,1305,Рывок после спокойного периода,1
AMD_RUB,2024-05-25,1323,Необычное движение за 5 обновлений,3
AMD_RUB,2024-05-31,1327,Смена направления,2
AMD_RUB,2024-06-06,1331,Смена направления,2
AMD_RUB,2024-06-14,1336,Рывок после спокойного периода,1
AMD_RUB,2024-06-19,1339,Необычное движение за 5 обновлений,3
AMD_RUB,2024-06-25,1343,Необычное движение за 5 обновлений,3
AMD_RUB,2024-07-03,1349,Смена направления,2
AMD_RUB,2024-07-25,1365,Необычное движение за 5 обновлений,3
AMD_RUB,2024-08-06,1373,Смена направления,2
AMD_RUB,2024-08-17,1382,Смена направления,2
AMD_RUB,2024-08-21,1384,Смена направления,2
AMD_RUB,2024-09-03,1393,Рывок после спокойного периода,1
AMD_RUB,2024-09-11,1399,Необычное движение за 5 обновлений,3
AMD_RUB,2024-10-04,1416,Необычное движение за 5 обновлений,3
AMD_RUB,2024-10-08,1418,Необычное движение за 5 обновлений,3
AMD_RUB,2024-11-15,1446,Рывок после спокойного периода,1
AMD_RUB,2024-11-23,1452,Необычное движение за 5 обновлений,3
AMD_RUB,2024-12-03,1458,Смена направления,2
AMD_RUB,2024-12-12,1465,Смена направления,2
AMD_RUB,2024-12-25,1474,Необычное движение за 5 обновлений,3
AMD_RUB,2025-01-10,1479,Смена направления,2
AMD_RUB,2025-01-22,1487,Необычное движение за 5 обновлений,3
AMD_RUB,2025-02-07,1499,Смена направления,2
AMD_RUB,2025-02-14,1504,Необычное движение за 5 обновлений,3
AMD_RUB,2025-03-04,1516,Смена направления,2
AMD_RUB,2025-03-19,1527,Необычное движение за 5 обновлений,3
AMD_RUB,2025-04-15,1546,Смена направления,2
AMD_RUB,2025-04-25,1554,Смена направления,2
AMD_RUB,2025-05-30,1575,Рывок после спокойного периода,1
AMD_RUB,2025-07-26,1614,Необычное движение за 5 обновлений,3
AMD_RUB,2025-08-02,1619,Смена направления,2
AMD_RUB,2025-08-06,1621,Необычное движение за 5 обновлений,3
AMD_RUB,2025-08-23,1634,Рывок после спокойного периода,1
AMD_RUB,2025-09-05,1643,Необычное движение за 5 обновлений,3
AMD_RUB,2025-09-16,1650,Смена направления,2
AMD_RUB,2025-09-30,1660,Смена направления,2
