corridor,signal_type,TP,FP,TN,FN,precision,recall,F0_5,F1,hit_rate,signals,golden_positives
AMD_RUB,good_day,15,7,117,29,0.6818181818181818,0.3409090909090909,0.5681818181818181,0.45454545454545453,0.6818181818181818,22,44
AMD_RUB,window_closing,0,1,156,11,0.0,0.0,0.0,0.0,0.0,1,11
AMD_RUB,positive_market_fact,5,0,113,50,1.0,0.09090909090909091,0.3333333333333333,0.16666666666666669,1.0,5,55
KGS_RUB,good_day,15,8,114,31,0.6521739130434783,0.32608695652173914,0.5434782608695652,0.43478260869565216,0.6521739130434783,23,46
KGS_RUB,window_closing,0,0,160,8,0.0,0.0,0.0,0.0,0.0,0,8
KGS_RUB,positive_market_fact,5,0,105,58,1.0,0.07936507936507936,0.3012048192771084,0.14705882352941177,1.0,5,63
KZT_RUB,good_day,11,10,134,13,0.5238095238095238,0.4583333333333333,0.5092592592592592,0.4888888888888889,0.5238095238095238,21,24
KZT_RUB,window_closing,0,1,154,13,0.0,0.0,0.0,0.0,0.0,1,13
KZT_RUB,positive_market_fact,2,0,119,47,1.0,0.04081632653061224,0.17543859649122806,0.07843137254901959,1.0,2,49
TJS_RUB,good_day,16,9,108,35,0.64,0.3137254901960784,0.5298013245033112,0.42105263157894735,0.64,25,51
TJS_RUB,window_closing,0,0,158,10,0.0,0.0,0.0,0.0,0.0,0,10
TJS_RUB,positive_market_fact,3,0,106,59,1.0,0.04838709677419355,0.20270270270270271,0.09230769230769231,1.0,3,62
UZS_RUB,good_day,12,11,119,26,0.5217391304347826,0.3157894736842105,0.46153846153846156,0.39344262295081966,0.5217391304347826,23,38
UZS_RUB,window_closing,0,0,158,10,0.0,0.0,0.0,0.0,0.0,0,10
UZS_RUB,positive_market_fact,3,0,116,49,1.0,0.057692307692307696,0.234375,0.1090909090909091,1.0,3,52
ALL,good_day,69,45,592,134,0.6052631578947368,0.3399014778325123,0.5235204855842184,0.43533123028391163,0.6052631578947368,114,203
ALL,window_closing,0,2,786,52,0.0,0.0,0.0,0.0,0.0,2,52
ALL,positive_market_fact,18,0,559,263,1.0,0.06405693950177936,0.254957507082153,0.12040133779264214,1.0,18,281
