corridor,month,good_day,none,positive_market_fact,window_closing,total_pushes
AMD_RUB,2026-01,3,0,0,0,3
AMD_RUB,2026-02,4,0,0,0,4
AMD_RUB,2026-03,3,0,0,0,3
AMD_RUB,2026-04,3,0,2,0,5
AMD_RUB,2026-05,2,0,2,1,5
AMD_RUB,2026-06,3,0,0,0,3
AMD_RUB,2026-07,3,0,1,0,4
AMD_RUB,2026-08,1,0,0,0,1
KGS_RUB,2026-01,3,0,0,0,3
KGS_RUB,2026-02,4,0,0,0,4
KGS_RUB,2026-03,2,0,1,0,3
KGS_RUB,2026-04,3,0,3,0,6
KGS_RUB,2026-05,4,0,0,0,4
KGS_RUB,2026-06,3,0,0,0,3
KGS_RUB,2026-07,3,0,1,0,4
KGS_RUB,2026-08,1,0,0,0,1
KZT_RUB,2026-01,4,0,0,0,4
KZT_RUB,2026-02,3,0,0,0,3
KZT_RUB,2026-03,2,0,1,0,3
KZT_RUB,2026-04,3,0,1,0,4
KZT_RUB,2026-05,4,0,0,0,4
KZT_RUB,2026-06,2,0,0,1,3
KZT_RUB,2026-07,2,0,0,0,2
KZT_RUB,2026-08,1,0,0,0,1
TJS_RUB,2026-01,4,0,0,0,4
TJS_RUB,2026-02,4,0,0,0,4
TJS_RUB,2026-03,2,0,1,0,3
TJS_RUB,2026-04,4,0,1,0,5
TJS_RUB,2026-05,4,0,0,0,4
TJS_RUB,2026-06,3,0,0,0,3
TJS_RUB,2026-07,3,0,1,0,4
TJS_RUB,2026-08,1,0,0,0,1
UZS_RUB,2026-01,3,0,0,0,3
UZS_RUB,2026-02,4,0,0,0,4
UZS_RUB,2026-03,2,0,1,0,3
UZS_RUB,2026-04,4,0,1,0,5
UZS_RUB,2026-05,4,0,1,0,5
UZS_RUB,2026-06,2,0,0,0,2
UZS_RUB,2026-07,3,0,0,0,3
UZS_RUB,2026-08,1,0,0,0,1
