corridor,signal_type,N_pushes,samples,random_seed,random_hit_rate_mean,random_hit_rate_std,random_hit_rate_p05,random_hit_rate_p95
AMD_RUB,good_day,22,1000,42,0.26122727272727275,0.08729970794683477,0.13636363636363635,0.4090909090909091
AMD_RUB,window_closing,1,1000,42,0.068,0.2518718710762268,0.0,1.0
AMD_RUB,positive_market_fact,5,1000,42,0.31220000000000003,0.20623698430129767,0.0,0.6
KGS_RUB,good_day,23,1000,42,0.27447826086956517,0.0877906526463713,0.13043478260869565,0.43478260869565216
KGS_RUB,window_closing,0,1000,42,,,,
KGS_RUB,positive_market_fact,5,1000,42,0.37100000000000005,0.2149539606641506,0.0,0.8
KZT_RUB,good_day,21,1000,42,0.1459047619047619,0.07312683142675883,0.047619047619047616,0.2857142857142857
KZT_RUB,window_closing,1,1000,42,0.082,0.2745020060971346,0.0,1.0
KZT_RUB,positive_market_fact,2,1000,42,0.2905,0.31695458698401924,0.0,1.0
TJS_RUB,good_day,25,1000,42,0.30724,0.08454780145415215,0.16,0.44
TJS_RUB,window_closing,0,1000,42,,,,
TJS_RUB,positive_market_fact,3,1000,42,0.37466666666666665,0.27513740108965057,0.0,1.0
UZS_RUB,good_day,23,1000,42,0.22195652173913044,0.08235157425199462,0.08695652173913043,0.34782608695652173
UZS_RUB,window_closing,0,1000,42,,,,
UZS_RUB,positive_market_fact,3,1000,42,0.30666666666666664,0.26629938002978654,0.0,0.6666666666666666
